University,Students,Passed,
Facultad de Medicina,1420,663,0.466901408
FES Zaragoza,396,130,0.328282828
FES Iztacala,1047,287,0.274116523
U. Panamericana,43,33,0.76744186
La Salle,196,122,0.62244898
U. de Guanajuato,154,88,0.571428571
Anáhuac,238,120,0.504201681
ITESM (Monterrey),68,50,0.735294118
U. de Monterrey,133,66,0.496240602
U.A. NL,690,344,0.498550725
U.A. Querétaro,75,47,0.626666667
U.A. SLP,135,89,0.659259259
U.A. Yucatan,166,83,0.5
U. A. de Chihuahua,157,95,0.605095541
"U. A. de Coahuila, Torreón",137,75,0.547445255
"U. A. BC, Mexicali",160,83,0.51875
"U. A. BC, Tijuana",121,71,0.58677686
