University,Students,Passed,Medical.Score,English.Score
Univ. Panamericana,39,34,62.47,7.41
Univ. Aut. de Queretaro,68,47,58.88,6.51
Univ. Aut. San Luís Potosí,146,100,57.96,6.9
ITESM (Monterrey),99,64,58.88,7.71
Univ. La Salle,224,139,58.27,7.23
Univ. Guanajuato,145,87,57.86,6.85
Univ. Aut. De Yucatán,148,79,56.36,6.54
Univ. Aut. Chihuahua,171,91,56.31,6.45
Univ. Aut. de Nuevo León,688,353,55.69,6.52
Univ. Aut. BC U. Mexicali,164,84,56.5,6.41
Univ. Aut. BC U. Tijuana,141,69,55.26,6.74
Univ. De Sonora,103,50,55.14,6.77
Univ. Monterrey,124,59,54.99,6.84
FACULTAD DE MEDICINA,1338,621,55.6,5.9
FES ZARAGOZA,362,104,52.79,5.31
FES IZTACALA,1052,252,52.25,5.48
